ID;Item Number;DN;DA;Size;Value;Unit;Bauteil
497;70.13;0.0;0.0;200;299.94;m2;Matratzenisolierung
496;70.12;0.0;0.0;180;269.96;m2;Matratzenisolierung
495;70.11;0.0;0.0;160;211.73;m2;Matratzenisolierung
494;70.9;0.0;0.0;120;184.99;m2;Matratzenisolierung
493;70.8;0.0;0.0;100;176.43;m2;Matratzenisolierung
492;70.7;0.0;0.0;90;173.39;m2;Matratzenisolierung
491;70.6;0.0;0.0;80;170.21;m2;Matratzenisolierung
490;70.5;0.0;0.0;70;168.07;m2;Matratzenisolierung
489;70.4;0.0;0.0;60;164.91;m2;Matratzenisolierung
488;70.3;0.0;0.0;50;162.88;m2;Matratzenisolierung
487;70.2;0.0;0.0;40;159.7;m2;Matratzenisolierung
486;70.10;0.0;0.0;140;206.0;m2;Matratzenisolierung
485;70.1;0.0;0.0;30;156.54;m2;Matratzenisolierung
484;41.3;0.0;0.0;180 - 220;23.2;St;Regenabweiser
483;41.2;0.0;0.0;120 - 160;18.78;St;Regenabweiser
482;41.1;0.0;0.0;30 - 100;14.87;St;Regenabweiser
481;40.3;0.0;0.0;180 - 220;13.59;St;Blenden/Stirnscheiben
480;40.2;0.0;0.0;120 - 160;11.89;St;Blenden/Stirnscheiben
479;40.1;0.0;0.0;30 - 100;10.19;St;Blenden/Stirnscheiben
478;39.3;0.0;0.0;180 - 220;32.3;St;Einsätze
477;39.2;0.0;0.0;120 - 160;27.2;St;Einsätze
476;39.1;0.0;0.0;30 - 100;22.51;St;Einsätze
475;38.3;0.0;0.0;180 - 220;18.69;St;Rosetten
474;38.2;0.0;0.0;120 - 160;16.14;St;Rosetten
473;38.1;0.0;0.0;30 - 100;14.44;St;Rosetten
472;37.3;0.0;0.0;180 - 220;7.81;St;Ausschnitte
471;37.2;0.0;0.0;120 - 160;7.39;St;Ausschnitte
470;37.1;0.0;0.0;30 - 100;7.22;St;Ausschnitte
469;36.13;0.0;0.0;200;175.1;m2;Kastensisolierung
468;36.12;0.0;0.0;180;157.6;m2;Kastensisolierung
467;36.11;0.0;0.0;160;122.04;m2;Kastensisolierung
466;36.9;0.0;0.0;120;109.11;m2;Kastensisolierung
465;36.8;0.0;0.0;100;103.0;m2;Kastensisolierung
464;36.7;0.0;0.0;90;100.03;m2;Kastensisolierung
463;36.6;0.0;0.0;80;95.1;m2;Kastensisolierung
462;36.5;0.0;0.0;70;90.52;m2;Kastensisolierung
461;36.4;0.0;0.0;60;85.59;m2;Kastensisolierung
460;36.3;0.0;0.0;50;82.69;m2;Kastensisolierung
459;36.2;0.0;0.0;40;79.47;m2;Kastensisolierung
458;36.10;0.0;0.0;140;115.25;m2;Kastensisolierung
457;36.1;0.0;0.0;30;74.19;m2;Kastensisolierung
456;35.13;0.0;0.0;200;0.0;m2;Sonderformteil
455;35.12;0.0;0.0;180;252.77;m2;Sonderformteil
454;35.11;0.0;0.0;160;232.91;m2;Sonderformteil
453;35.9;0.0;0.0;120;174.74;m2;Sonderformteil
452;35.8;0.0;0.0;100;156.89;m2;Sonderformteil
451;35.7;0.0;0.0;90;152.22;m2;Sonderformteil
450;35.6;0.0;0.0;80;149.65;m2;Sonderformteil
449;35.5;0.0;0.0;70;147.29;m2;Sonderformteil
448;35.4;0.0;0.0;60;140.14;m2;Sonderformteil
447;35.3;0.0;0.0;50;140.14;m2;Sonderformteil
446;35.2;0.0;0.0;40;140.14;m2;Sonderformteil
445;35.10;0.0;0.0;140;179.57;m2;Sonderformteil
444;35.1;0.0;0.0;30;140.14;m2;Sonderformteil
443;34.13;0.0;0.0;200;57.09;m2;prov. Isolierung
442;34.12;0.0;0.0;180;51.36;m2;prov. Isolierung
441;34.11;0.0;0.0;160;39.95;m2;prov. Isolierung
440;34.9;0.0;0.0;120;34.85;m2;prov. Isolierung
439;34.8;0.0;0.0;100;33.58;m2;prov. Isolierung
