Positionsnummer;DN;DA;Dämmdicke;Preis;Einheit;Bauteil
23.11;1000.0;1016.0;200;586.3;m;Rohrleitung
23.9;1000.0;1016.0;160;444.73;m;Rohrleitung
23.8;1000.0;1016.0;140;418.23;m;Rohrleitung
23.7;1000.0;1016.0;120;362.56;m;Rohrleitung
23.6;1000.0;1016.0;100;335.03;m;Rohrleitung
23.5;1000.0;1016.0;90;324.65;m;Rohrleitung
23.4;1000.0;1016.0;80;311.74;m;Rohrleitung
23.3;1000.0;1016.0;70;309.61;m;Rohrleitung
23.2;1000.0;1016.0;60;297.46;m;Rohrleitung
23.1;1000.0;1016.0;180;527.68;m;Rohrleitung
23.1;1000.0;1016.0;50;284.96;m;Rohrleitung
22.11;900.0;914.4;200;554.46;m;Rohrleitung
22.9;900.0;914.4;160;415.85;m;Rohrleitung
22.8;900.0;914.4;140;385.5;m;Rohrleitung
22.7;900.0;914.4;120;353.03;m;Rohrleitung
22.6;900.0;914.4;100;316.84;m;Rohrleitung
22.5;900.0;914.4;90;310.46;m;Rohrleitung
22.4;900.0;914.4;80;295.58;m;Rohrleitung
22.3;900.0;914.4;70;282.76;m;Rohrleitung
22.2;900.0;914.4;60;272.38;m;Rohrleitung
22.10;900.0;914.4;180;499.01;m;Rohrleitung
22.1;900.0;914.4;50;258.79;m;Rohrleitung
21.11;800.0;812.8;200;531.09;m;Rohrleitung
21.9;800.0;812.8;160;370.88;m;Rohrleitung
21.8;800.0;812.8;140;349.12;m;Rohrleitung
21.7;800.0;812.8;120;324.06;m;Rohrleitung
21.6;800.0;812.8;100;303.48;m;Rohrleitung
21.5;800.0;812.8;90;291.42;m;Rohrleitung
21.4;800.0;812.8;80;259.9;m;Rohrleitung
21.3;800.0;812.8;70;251.31;m;Rohrleitung
21.2;800.0;812.8;60;248.85;m;Rohrleitung
21.10;800.0;812.8;180;478.0;m;Rohrleitung
21.1;800.0;812.8;50;233.37;m;Rohrleitung
20.11;700.0;711.2;200;443.35;m;Rohrleitung
20.9;700.0;711.2;160;343.78;m;Rohrleitung
20.8;700.0;711.2;140;314.62;m;Rohrleitung
20.7;700.0;711.2;120;278.75;m;Rohrleitung
20.6;700.0;711.2;100;253.34;m;Rohrleitung
20.5;700.0;711.2;90;244.16;m;Rohrleitung
20.4;700.0;711.2;80;238.05;m;Rohrleitung
20.3;700.0;711.2;70;230.49;m;Rohrleitung
20.2;700.0;711.2;60;223.94;m;Rohrleitung
20.10;700.0;711.2;180;399.02;m;Rohrleitung
20.1;700.0;711.2;50;215.79;m;Rohrleitung
19.11;600.0;609.6;200;375.53;m;Rohrleitung
19.9;600.0;609.6;160;305.7;m;Rohrleitung
19.8;600.0;609.6;140;281.56;m;Rohrleitung
19.7;600.0;609.6;120;253.27;m;Rohrleitung
19.6;600.0;609.6;100;214.59;m;Rohrleitung
19.5;600.0;609.6;90;205.93;m;Rohrleitung
19.4;600.0;609.6;80;199.21;m;Rohrleitung
19.3;600.0;609.6;70;194.7;m;Rohrleitung
19.2;600.0;609.6;60;190.03;m;Rohrleitung
19.10;600.0;609.6;180;337.98;m;Rohrleitung
19.1;600.0;609.6;50;186.3;m;Rohrleitung
18.13;500.0;508.0;200;351.0;m;Rohrleitung
18.12;500.0;508.0;180;315.91;m;Rohrleitung
18.11;500.0;508.0;160;279.53;m;Rohrleitung
18.9;500.0;508.0;120;227.17;m;Rohrleitung
18.8;500.0;508.0;100;200.57;m;Rohrleitung
18.7;500.0;508.0;90;191.65;m;Rohrleitung
18.6;500.0;508.0;80;187.65;m;Rohrleitung
18.5;500.0;508.0;70;180.09;m;Rohrleitung
18.4;500.0;508.0;60;166.92;m;Rohrleitung
18.3;500.0;508.0;50;161.14;m;Rohrleitung
18.2;500.0;508.0;40;144.65;m;Rohrleitung
18.10;500.0;508.0;140;255.56;m;Rohrleitung
18.1;500.0;508.0;30;129.1;m;Rohrleitung
17.13;450.0;457.0;200;339.4;m;Rohrleitung
17.12;450.0;457.0;180;305.46;m;Rohrleitung
17.11;450.0;457.0;160;264.14;m;Rohrleitung
17.9;450.0;457.0;120;212.3;m;Rohrleitung
17.8;450.0;457.0;100;193.94;m;Rohrleitung
17.7;450.0;457.0;90;171.6;m;Rohrleitung
17.6;450.0;457.0;80;163.86;m;Rohrleitung
17.5;450.0;457.0;70;152.81;m;Rohrleitung
17.4;450.0;457.0;60;145.17;m;Rohrleitung
17.3;450.0;457.0;50;139.81;m;Rohrleitung
17.2;450.0;457.0;40;131.55;m;Rohrleitung
17.10;450.0;457.0;140;241.11;m;Rohrleitung
17.1;450.0;457.0;30;118.55;m;Rohrleitung
16.13;400.0;406.4;200;295.37;m;Rohrleitung
16.12;400.0;406.4;180;265.84;m;Rohrleitung
16.11;400.0;406.4;160;241.61;m;Rohrleitung
16.9;400.0;406.4;120;194.37;m;Rohrleitung
16.8;400.0;406.4;100;168.79;m;Rohrleitung
16.7;400.0;406.4;90;160.62;m;Rohrleitung
16.6;400.0;406.4;80;156.28;m;Rohrleitung
16.5;400.0;406.4;70;144.91;m;Rohrleitung
16.4;400.0;406.4;60;135.89;m;Rohrleitung
16.3;400.0;406.4;50;124.92;m;Rohrleitung
16.2;400.0;406.4;40;117.28;m;Rohrleitung
16.10;400.0;406.4;140;221.39;m;Rohrleitung
16.1;400.0;406.4;30;108.62;m;Rohrleitung
15.13;350.0;355.6;200;287.78;m;Rohrleitung
15.12;350.0;355.6;180;259.01;m;Rohrleitung
15.11;350.0;355.6;160;226.49;m;Rohrleitung
15.9;350.0;355.6;120;182.38;m;Rohrleitung
15.8;350.0;355.6;100;164.45;m;Rohrleitung
15.7;350.0;355.6;90;150.6;m;Rohrleitung
15.6;350.0;355.6;80;140.48;m;Rohrleitung
15.5;350.0;355.6;70;135.14;m;Rohrleitung
15.4;350.0;355.6;60;124.0;m;Rohrleitung
15.3;350.0;355.6;50;113.55;m;Rohrleitung
15.2;350.0;355.6;40;104.11;m;Rohrleitung
15.10;350.0;355.6;140;203.88;m;Rohrleitung
15.1;350.0;355.6;30;94.34;m;Rohrleitung
14.13;300.0;323.9;200;254.63;m;Rohrleitung
14.12;300.0;323.9;180;229.16;m;Rohrleitung
14.11;300.0;323.9;160;220.11;m;Rohrleitung
14.9;300.0;323.9;120;166.83;m;Rohrleitung
14.8;300.0;323.9;100;145.5;m;Rohrleitung
14.7;300.0;323.9;90;141.84;m;Rohrleitung
14.6;300.0;323.9;80;132.07;m;Rohrleitung
14.5;300.0;323.9;70;121.36;m;Rohrleitung
14.4;300.0;323.9;60;114.47;m;Rohrleitung
14.3;300.0;323.9;50;105.22;m;Rohrleitung
14.2;300.0;323.9;40;98.24;m;Rohrleitung
14.10;300.0;323.9;140;195.05;m;Rohrleitung
14.1;300.0;323.9;30;87.97;m;Rohrleitung
13.13;250.0;273.0;200;237.66;m;Rohrleitung
13.12;250.0;273.0;180;213.89;m;Rohrleitung
13.11;250.0;273.0;160;196.33;m;Rohrleitung
13.9;250.0;273.0;120;149.91;m;Rohrleitung
13.8;250.0;273.0;100;135.8;m;Rohrleitung
13.7;250.0;273.0;90;124.68;m;Rohrleitung
